Source;Target;Weight
1001;1002_2;32
1001;102303_2;3
1001;102314;3
1001;102818;1
1001;102819;1
1001;103312;2
1001;104;149
1001;110071;32
1001;111306;2
1001;112310;5
1001;112802;15
1001;113302;5
1001;113315;1
1001;113323_1;6
1001;113323_3;1
1001;2100;109
1001;3100;14
1001;4100;2
1001;999999;1
1002_1;2100;9
1002_1;4100;10
1002_2;103312;1
1002_2;104;4
1002_2;110071;1
1002_2;2100;4
1002_2;3100;2
1002_2;999999;1
102303_2;102306_1;1
102303_2;102819;1
102303_2;104;2
102303_2;113302;1
102303_2;113323_1;1
102303_2;2100;6
102306_1;2100;3
102314;104;2
102314;110071;1
102314;3100;2
102818;2100;1
103312;104;2
103312;110071;1
103312;2100;3
103312;3100;1
104;110071;56
104;112310;1
104;112802;3
104;113302;4
104;113323_1;6
104;113323_2;1
104;113323_3;3
104;113850;1
104;1900;4
104;2100;155
104;2900;4
104;3100;12
104;4100;4
104304;113323_1;1
104304;2100;2
110071;112310;1
110071;113302;2
110071;113323_1;2
110071;113323_3;1
110071;113850;2
110071;1900;1
110071;2100;65
110071;2900;2
110071;3100;10
112310;2100;2
112310;3100;1
112802;2100;2
113302;113323_1;1
113302;113323_2;1
113302;113909;1
113302;2100;21
113305;2100;5
113315;113323_1;1
113315;2100;11
113323_1;113323_2;5
113323_1;113323_3;4
113323_1;2100;19
113323_1;3100;2
113323_2;2100;5
113323_3;2100;5
113323_3;3100;1
113850;2100;9
113850;2900;4
113909;2100;1
113957;2100;2
1900;2100;42
1900;2900;2
2100;2900;46
2100;3100;29
2100;4100;27
2100;999999;1
2900;3100;2
